,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,neighborhood,latitude,longitude,showAddress,url,status,newDevelopment,hasLift,geometry
8965,1,2100.0,flat,rent,108.0,True,2,3,barrio Chueca-Justicia,Madrid,Madrid,Centro,Chueca-Justicia,40.4219625,-3.6935317,False,https://www.idealista.com/inmueble/81402672/,good,False,True,"{'type': 'Point', 'coordinates': (40.4219625, -3.6935317)}"
8966,3,720.0,flat,rent,55.0,True,1,1,barrio Rejas,Madrid,Madrid,San Blas,Rejas,40.4434697,-3.5442266,False,https://www.idealista.com/inmueble/81213810/,good,False,True,"{'type': 'Point', 'coordinates': (40.4434697, -3.5442266)}"
8967,5,3100.0,flat,rent,101.0,True,2,2,barrio Recoletos,Madrid,Madrid,Salamanca,Recoletos,40.4196208,-3.6887979,False,https://www.idealista.com/inmueble/81162434/,good,False,True,"{'type': 'Point', 'coordinates': (40.4196208, -3.6887979)}"
8968,4,6000.0,flat,rent,397.0,True,5,5,barrio Almagro,Madrid,Madrid,Chamberí,Almagro,40.4345671,-3.6914392,False,https://www.idealista.com/inmueble/39442719/,good,False,True,"{'type': 'Point', 'coordinates': (40.4345671, -3.6914392)}"
8969,1,1750.0,flat,rent,50.0,True,1,1,"Calle Santa Feliciana, 16",Madrid,Madrid,Chamberí,Trafalgar,40.4332587,-3.698738,True,https://www.idealista.com/inmueble/38907215/,good,False,True,"{'type': 'Point', 'coordinates': (40.4332587, -3.698738)}"
8972,3,1000.0,flat,rent,85.0,True,2,1,barrio Rejas,Madrid,Madrid,San Blas,Rejas,40.4442221,-3.5436651,False,https://www.idealista.com/inmueble/37764309/,good,False,True,"{'type': 'Point', 'coordinates': (40.4442221, -3.5436651)}"
8973,2,3500.0,flat,rent,240.0,True,3,4,barrio Castellana,Madrid,Madrid,Salamanca,Castellana,40.4358155,-3.6848556,False,https://www.idealista.com/inmueble/37747142/,good,False,True,"{'type': 'Point', 'coordinates': (40.4358155, -3.6848556)}"
8974,4,3300.0,flat,rent,120.0,True,2,2,"Calle sagasta, 14",Madrid,Madrid,Centro,Chueca-Justicia,40.4283299,-3.6996961,True,https://www.idealista.com/inmueble/30959801/,good,False,True,"{'type': 'Point', 'coordinates': (40.4283299, -3.6996961)}"
8975,5,5100.0,penthouse,rent,250.0,True,2,2,"Calle de Sagasta, 14",Madrid,Madrid,Centro,Chueca-Justicia,40.4283299,-3.6996961,True,https://www.idealista.com/inmueble/34857423/,good,False,True,"{'type': 'Point', 'coordinates': (40.4283299, -3.6996961)}"
8976,6,1200.0,penthouse,rent,75.0,False,2,1,"Calle BLASCO DE GARAY, 18",Madrid,Madrid,Chamberí,Arapiles,40.4314084,-3.7116545,True,https://www.idealista.com/inmueble/37249075/,good,False,True,"{'type': 'Point', 'coordinates': (40.4314084, -3.7116545)}"
8977,3,720.0,flat,rent,55.0,True,1,1,barrio Rejas,Madrid,Madrid,San Blas,Rejas,40.4462221,-3.5420651,False,https://www.idealista.com/inmueble/36786975/,good,False,True,"{'type': 'Point', 'coordinates': (40.4462221, -3.5420651)}"
8979,8,5000.0,penthouse,rent,350.0,True,3,4,barrio Jerónimos,Madrid,Madrid,Retiro,Jerónimos,40.4112536,-3.6907098,False,https://www.idealista.com/inmueble/36089326/,good,False,True,"{'type': 'Point', 'coordinates': (40.4112536, -3.6907098)}"
8980,3,999.0,flat,rent,85.0,False,2,2,barrio Rejas,Madrid,Madrid,San Blas,Rejas,40.4502263,-3.5776337,False,https://www.idealista.com/inmueble/33452634/,good,False,True,"{'type': 'Point', 'coordinates': (40.4502263, -3.5776337)}"
8981,6,850.0,flat,rent,40.0,True,1,1,"Calle Galileo, 26",Madrid,Madrid,Chamberí,Arapiles,40.4322352,-3.7102142,True,https://www.idealista.com/inmueble/25918349/,good,False,True,"{'type': 'Point', 'coordinates': (40.4322352, -3.7102142)}"
8982,0,990.0,flat,rent,45.0,False,1,1,Calle de Hermosilla,Madrid,Madrid,Salamanca,Goya,40.4244869,-3.6770098,False,https://www.idealista.com/inmueble/86884431/,good,False,True,"{'type': 'Point', 'coordinates': (40.4244869, -3.6770098)}"
8985,1,900.0,flat,rent,55.0,True,1,1,"Plaza de la Cebada, 10",Madrid,Madrid,Centro,Palacio,40.4115938,-3.7101278,True,https://www.idealista.com/inmueble/87625014/,good,False,False,"{'type': 'Point', 'coordinates': (40.4115938, -3.7101278)}"
8988,5,1099.0,flat,rent,59.0,True,1,1,"Calle de Alonso Cano, 53",Madrid,Madrid,Chamberí,Nuevos Ministerios-Ríos Rosas,40.4400594,-3.6978462,True,https://www.idealista.com/inmueble/87614469/,good,False,True,"{'type': 'Point', 'coordinates': (40.4400594, -3.6978462)}"
8989,1,900.0,flat,rent,85.0,False,3,2,barrio San Isidro,Madrid,Madrid,Carabanchel,San Isidro,40.3987304,-3.7329811,False,https://www.idealista.com/inmueble/87580486/,good,False,True,"{'type': 'Point', 'coordinates': (40.3987304, -3.7329811)}"
8990,2,1000.0,flat,rent,60.0,False,1,1,"Avenida de Pío XII, 90",Madrid,Madrid,Chamartín,Castilla,40.470742,-3.6728263,True,https://www.idealista.com/inmueble/87579072/,good,False,True,"{'type': 'Point', 'coordinates': (40.470742, -3.6728263)}"
8992,2,899.0,flat,rent,70.0,True,2,1,Calle de Isla de Formosa,Madrid,Madrid,Fuencarral,Tres Olivos - Valverde,40.4986492,-3.6861264,False,https://www.idealista.com/inmueble/87569115/,good,False,True,"{'type': 'Point', 'coordinates': (40.4986492, -3.6861264)}"
